Item Name,Unit,Qunatity Available,Quantity Purcahsed,Qunatity Sold,Qunatity Avaialble for sale,Valuation
"""Instrument Case 3U ( 335 x 245 x 135mm ) New (ARW942Q-QAVA56929)""",Nos,11.0,22.0,11.0,11.0,40300.0
"""L"" Support L 85( L Type)",Nos,32.0,47.0,15.0,32.0,768.0
"""O"" Ring 10x5mm",Nos,45.0,48.0,3.0,45.0,247.5
"""O"" Ring 215X6",Nos,14.0,19.0,5.0,14.0,840.0
"""O"" Ring-5X2 mm",Nos,0.0,3.0,3.0,0.0,0.0
"""O"" Ring-5X3 mm",Nos,93.0,100.0,7.0,93.0,223.2
"""O""Ring 180X6 mm",Nos,12.0,30.0,18.0,12.0,624.0
(HV Capacitors) Porcelein capacitor 1200pF / 400 KV,Nos,0.0,6.0,6.0,0.0,0.0
0340 Protector Cube Case without foam-Black,Nos,12.0,12.0,0.0,12.0,400321.87
1.1 kV LT Bushing with accessories,Set,0.0,10.0,10.0,0.0,0.0
1.5 Meters 8 Pin RJ45 LAN Cable : Male to Female Screw Panel Mount Ethernet LAN Network 8 Pin Extension Cable - Extend ETHERNET and Mount to Panel | B07MPCXPLF ( h-001-073 ),Nos,1.0,5.0,4.0,1.0,401.74
10 KG AC Synchronous Motor with Kit,Nos,1.0,1.0,0.0,1.0,1300.0
100/05 Cap.  Pillar Bottom (Bottom Flange),Nos,45.0,90.0,45.0,45.0,86287.5
100/05 Cap. Pillar Top  Res Side (Bottom Flanges),Nos,268.0,536.0,268.0,268.0,513890.0
100/05 Diode Support Assembly  (Bottom Flange),Nos,18.0,36.0,18.0,18.0,88803.0
100/05 Diode Support Assembly  (Top Flange),Nos,6.0,12.0,6.0,6.0,27807.0
100/05 Res Pillar Bottom  (Bottom Flange),Nos,15.0,30.0,15.0,15.0,28762.5
100/05 Res Pillar Top (Top Flange),Nos,132.0,264.0,132.0,132.0,238095.0
100/05 RVD Assembly (Bottom Flange),Nos,19.0,38.0,19.0,19.0,76261.25
100/05 RVD Assembly (Top Flange),Nos,19.0,38.0,19.0,19.0,41990.0
100/05 RVD Assembly-Top Flange Cover,Nos,4.0,8.0,4.0,4.0,14400.0
100/10  Cap.  Pillar Spoon Type 1 -Flat,Nos,8.0,16.0,8.0,8.0,8372.0
100/10  Cap.  Pillar Spoon Type 1-Stud,Nos,8.0,16.0,8.0,8.0,2392.0
100/10  Cap.  Pillar Spoon Type 2 -Flat,Nos,6.0,12.0,6.0,6.0,6279.0
100/10  Cap.  Pillar Spoon Type 2-Stud,Nos,8.0,16.0,8.0,8.0,1508.0
100/10  Cap.  Pillar Spoon Type 3 -Flat,Nos,23.0,46.0,23.0,23.0,29227.25
100/10  Cap.  Pillar Spoon Type 4 -Flat,Nos,8.0,16.0,8.0,8.0,5538.0
100/10  Cap.  Pillar Spoon Type 4-Stud,Nos,8.0,16.0,8.0,8.0,1976.0
