InventoryAdjustment#,Date,Reference#,Status,InventoryAdjustment ID,Adjustment Type,Reason,Description,Item Name,Item ID,SKU,Account,Inventory Account,Item Desc,Quantity Adjusted,Cost Price,Value Adjusted,Usage unit,Warehouse Name
624,2022-01-10,,Adjusted,536460000016324115,quantity,in house consumption,,"Cutting Wheel 105X1.2X16mm (4"")",536460000011578463,CWAMSTBH0004SO,Raw Materials And Consumables,Inventory Asset,,-500.00,0.000000,,Nos,Mechanical
625,2022-01-10,,Adjusted,536460000016315997,quantity,in house consumption,,"Grinding Wheel 100X6X16mm (4"")",536460000011582613,GWAMDIBH0004SO,Cost of Goods Sold,Inventory Asset,,-19.00,0.000000,,Nos,Mechanical
676,2022-01-12,,Adjusted,536460000016350260,quantity,in house consumption,,"Flamp Disk 4""x60 No(Bosch)",536460000011682171,BWAMDIWC0004SO,Raw Materials And Consumables,Inventory Asset,,-400.00,0.000000,,Nos,Mechanical
676,2022-01-12,,Adjusted,536460000016350260,quantity,in house consumption,,"Flamp Disk 5""x60 No",536460000011683208,BWAMDIXP0005SO,Raw Materials And Consumables,Inventory Asset,,-15.00,0.000000,,Nos,Mechanical
676,2022-01-12,,Adjusted,536460000016350260,quantity,in house consumption,,"Grinding Wheel 125X6X22.23mm (5"")",536460000011583650,GWAMDIBH0005SO,Raw Materials And Consumables,Inventory Asset,,-17.00,0.000000,,Nos,Mechanical
1472,2022-03-28,,Adjusted,536460000016763626,quantity,in house consumption,,Activated Alumin Balls 3-5 mm,536460000014245240,ACSBALBL35MMY1,Cost of Goods Sold,Inventory Asset,,-5.00,0.000000,,Kg,Main Store
1473,2022-03-28,,Adjusted,536460000016763650,quantity,in house consumption,,Aluminium Alloy Casting 26 PEC BAND,536460000016422621,AACDU26PECBAND,Cost of Goods Sold,Inventory Asset,,-114.70,0.000000,,Kgs,Main Store
1474,2022-03-29,,Adjusted,536460000016763696,quantity,in house consumption,,Aluminium Casting Ring,536460000016422650,AACDURingXXXZ1,Cost of Goods Sold,Inventory Asset,,-244.25,0.000000,,Kgs,Main Store
1475,2022-03-29,,Adjusted,536460000016763714,quantity,in house consumption,,"Aluminium Cutter 14""",536460000011627208,ALCUTNAXXX14SD,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,Main Store
1476,2022-03-29,,Adjusted,536460000016763732,quantity,in house consumption,,Aluminium Flat  100X15 mm,536460000007791030,FLALHD10015FRE,Cost of Goods Sold,Inventory Asset,,-4.50,0.000000,,Kg,Mechanical
1477,2022-03-29,,Adjusted,536460000016763750,quantity,in house consumption,,Aluminium Flat  150X35 mm,536460000007789993,FLALHD15035FRE,Cost of Goods Sold,Inventory Asset,,-5.00,0.000000,,Kg,Main Store
1478,2022-03-29,,Adjusted,536460000016763768,quantity,in house consumption,,Aluminium flat(265x20)mm,536460000007794141,FLALHD28520FRE,Cost of Goods Sold,Inventory Asset,,-4.00,0.000000,,Kg,Main Store
1479,2022-03-29,,Adjusted,536460000016763786,quantity,in house consumption,,Aluminium flat(285x50)mm,536460000007793104,FLALHD28550FRE,Cost of Goods Sold,Inventory Asset,,-12.50,0.000000,,Kg,Main Store
1480,2022-03-29,,Adjusted,536460000016763852,quantity,in house consumption,,"Cable Creation USB C to RJ45 cable 6 feet USB serial adapter compatible with Router, CISCO, Netgear, Linksys, Windows, macOS, Linux, Black B0875WL9Y5",536460000016552736,CCUSBCRJ4065Z7,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,Main Store
1482,2022-03-29,,Adjusted,536460000016763888,quantity,in house consumption,,"DC Gear Motor 24VDC,92.8 RPM,",536460000015986011,MDBTSD02498RM1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,PHV
1484,2022-03-29,,Adjusted,536460000016763960,quantity,in house consumption,,"Gear box-Combined (GBC) MF+MB (MFMB),Ratio 10:1, 71",536460000015774369,GBCRMFMB1071M1,Cost of Goods Sold,Inventory Asset,,-5.00,0.000000,,Nos,Mechanical
1485,2022-03-29,,Adjusted,536460000016763978,quantity,in house consumption,,"Gear box-Combined (GBC) MF+MB (MFMB),Ratio 10:1, 71",536460000015774369,GBCRMFMB1071M1,Cost of Goods Sold,Inventory Asset,,-7.00,0.000000,,Nos,Main Store
1486,2022-03-29,,Adjusted,536460000016766400,quantity,in house consumption,,"Centrifugal Pump Motor 1 X 230VAC, 50Hz, Density 983.2 kg/m3",536460000015753625,MCPGPUP230983M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,Main Store
1487,2022-03-29,,Adjusted,536460000016768001,quantity,in house consumption,,"3M Scotch Brite AMED Belt 3-1/2""X15-1/2""",536460000013094786,SBPAD3M3A15ASP,Cost of Goods Sold,Inventory Asset,,-7.00,0.000000,,Nos,Mechanical
1487,2022-03-29,,Adjusted,536460000016768001,quantity,in house consumption,,Accelerator Lapox K-13.,536460000016105827,EAATXXXXXK13Z1,Cost of Goods Sold,Inventory Asset,,-5.00,0.000000,,Kgs,Mechanical
1487,2022-03-29,,Adjusted,536460000016768001,quantity,in house consumption,,"3M 237AA TRIZACT Belt 3-1/2""X15,A160",536460000011588837,FBAMTZ3M237ASP,Cost of Goods Sold,Inventory Asset,,-12.00,0.000000,,Nos,Mechanical
1488,2022-03-29,,Adjusted,536460000016769546,quantity,in house consumption,,Crtron 20Amp 6V-30V DC Motor Driver MD20A,536460000016201805,MDRROBUMD20AZ1,Cost of Goods Sold,Inventory Asset,,-4.00,0.000000,,Nos,PHV
1489,2022-03-29,,Adjusted,536460000016769594,quantity,in house consumption,,"DC Motor (MD)12VDC (012), 1.8 RPM,(1R8)",536460000015743255,MDBTSD0121R8M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,Main Store
1490,2022-03-29,,Adjusted,536460000016769612,quantity,in house consumption,,"Gear box-Combined MF+MB,Ratio 10:1, Box90",536460000015775406,GBCRMFMB1090M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,Main Store
1491,2022-03-29,,Adjusted,536460000016769630,quantity,in house consumption,,"DC Motor (MD)12VDC (012), 1.8 RPM,(1R8)",536460000015743255,MDBTSD0121R8M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,IHV
1492,2022-03-29,,Adjusted,536460000016769646,quantity,in house consumption,,Gear box-Warm (GBW),536460000015763999,GBWR307R5063M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,Main Store
1493,2022-03-29,,Adjusted,536460000016769852,quantity,in house consumption,,"DC Motor 24VDC, 33 RPM, Ratio 120:1,",536460000015745329,MDNCSD02433RM1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,IHV
1494,2022-03-29,,Adjusted,536460000016769870,quantity,in house consumption,,"DC Motor 24VDC, 33 RPM, Ratio 120:1,",536460000015745329,MDNCSD02433RM1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,PHV
1496,2022-03-29,,Adjusted,536460000016769906,quantity,in house consumption,,"Chimney Middle FRP Pipe,φ(500-480),L=775 mm",536460000016129308,FPF5004800775F,Cost of Goods Sold,Inventory Asset,,-6.00,0.000000,,Nos,Main Store
1497,2022-03-29,,Adjusted,536460000016769922,quantity,in house consumption,,"DC Motor 24VDC, 6 RPM, Ratio 1080:1,",536460000015744292,MDBTSD02406RM1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,TRM
1498,2022-03-29,,Adjusted,536460000016769940,quantity,in house consumption,,"DC Motor-Permanent Magnet 180VDC, 746W/1 HP, 1500 RPM",536460000015750514,MDDYPG180746M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,Main Store
1499,2022-03-29,,Adjusted,536460000016769958,quantity,in house consumption,,"DC Motor-Permanent Magnet 180VDC, 746W/1 HP, 1500 RPM",536460000015750514,MDDYPG180746M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,PHV
1500,2022-03-29,,Adjusted,536460000016770038,quantity,in house consumption,,"DC Motor-Permanent Magnet 90VDC, 300W, Frame 90x90mm",536460000015749477,MDBTPG090300M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,PHV
1501,2022-03-29,,Adjusted,536460000016770064,quantity,in house consumption,,"DC Motor-Permanent Magnet,90VDC, 300W, 1.2A, 3300 RPM, Frame 90x90 mm, K9DP-300N3",536460000016127351,MDGGPG030090M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,Main Store
1502,2022-03-29,,Adjusted,536460000016770082,quantity,in house consumption,,"DC Motor-Permanent Magnet,90VDC, 300W, 1.2A, 3300 RPM, Frame 90x90 mm, K9DP-300N3",536460000016127351,MDGGPG030090M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,IHV
1503,2022-03-29,,Adjusted,536460000016770098,quantity,in house consumption,,"DC Motor-Permanent Magnet,90VDC, 300W, 1.2A, 3300 RPM, Frame 90x90 mm, K9DP-300N3",536460000016127351,MDGGPG030090M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,PHV
1504,2022-03-29,,Adjusted,536460000016770132,quantity,in house consumption,,"Gear box-Warm BOX030,Ratio 10:1, 63",536460000015765036,GBWR30010063M1,Cost of Goods Sold,Inventory Asset,,-4.00,0.000000,,Nos,Mechanical
1505,2022-03-29,,Adjusted,536460000016770150,quantity,in house consumption,,"Gear box-Warm BOX030,Ratio 10:1, 63",536460000015765036,GBWR30010063M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,Main Store
1506,2022-03-29,,Adjusted,536460000016770168,quantity,in house consumption,,"DC Motor-Permanent Magnet,90VDC, 90W, 1.2A, 3300 RPM, Frame 90x90 mm, K9DP-90N3",536460000015782665,MDGGPG090090M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,Main Store
1507,2022-03-29,,Adjusted,536460000016770186,quantity,in house consumption,,"DC Motor 24VDC, 33 RPM, Ratio 120:1,",536460000015745329,MDNCSD02433RM1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,Main Store
1508,2022-03-29,,Adjusted,536460000016770204,quantity,in house consumption,,"Induction Motor 415VAC,746W/1HP, 1440 RPM",536460000015751551,MIBBSS415746M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,Main Store
1509,2022-03-29,,Adjusted,536460000016770222,quantity,in house consumption,,Motor Electric 0.18 Kw 4Pole 0.25 B5-Rotomotive,536460000015787850,MIRM1b4H4PB5M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,Mechanical
1510,2022-03-29,,Adjusted,536460000016770240,quantity,in house consumption,,"Aluminium Flat,100x10",536460000007725697,FLALHD10010FRE,Cost of Goods Sold,Inventory Asset,,-22.25,0.000000,,Kg,Main Store
1511,2022-03-29,,Adjusted,536460000016770258,quantity,in house consumption,,"Gear box-Warm BOX030,Ratio 40:1, 63",536460000016087425,GBWR30040063M1,Cost of Goods Sold,Inventory Asset,,-8.00,0.000000,,Nos,Mechanical
1512,2022-03-29,,Adjusted,536460000016770274,quantity,in house consumption,,"Aluminium Flat,100x10",536460000007725697,FLALHD10010FRE,Cost of Goods Sold,Inventory Asset,,-106.09,0.000000,,Kg,Mechanical
1513,2022-03-29,,Adjusted,536460000016770292,quantity,in house consumption,,"Gear box-Warm BOX030,Ratio 40:1, 63",536460000016087425,GBWR30040063M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,IHV
1514,2022-03-29,,Adjusted,536460000016770308,quantity,in house consumption,,Motor Electric 0.37 kW  4 Pole 0.50 HP B5-Rotomotive 1440 RPM,536460000016225973,MIRM1b2H4PB5M1,Cost of Goods Sold,Inventory Asset,,-3.00,0.000000,,Nos,Mechanical
1515,2022-03-29,,Adjusted,536460000016770326,quantity,in house consumption,,"Gear box-Warm BOX030,Ratio 40:1, 63",536460000016087425,GBWR30040063M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,PHV
1516,2022-03-29,,Adjusted,536460000016770344,quantity,in house consumption,,"Gear box-Warm BOX030,Ratio 40:1, 63",536460000016087425,GBWR30040063M1,Cost of Goods Sold,Inventory Asset,,-4.00,0.000000,,Nos,Main Store
1517,2022-03-29,,Adjusted,536460000016770362,quantity,in house consumption,,"Aluminium Flat,100x12",536460000007726734,FLALHD10012FRE,Cost of Goods Sold,Inventory Asset,,-4.80,0.000000,,Kg,Main Store
1518,2022-03-29,,Adjusted,536460000016770380,quantity,in house consumption,,Motor K8IG-25NC,536460000016366153,MIGGPS220025M1,Cost of Goods Sold,Inventory Asset,,-1.00,0.000000,,Nos,Main Store
1519,2022-03-29,,Adjusted,536460000016770398,quantity,in house consumption,,Motor K8IG-25NC,536460000016366153,MIGGPS220025M1,Cost of Goods Sold,Inventory Asset,,-3.00,0.000000,,Nos,Main Store
1520,2022-03-29,,Adjusted,536460000016770416,quantity,in house consumption,,"Aluminium Flat,100x12",536460000007726734,FLALHD10012FRE,Cost of Goods Sold,Inventory Asset,,-14.70,0.000000,,Kg,Mechanical
1521,2022-03-29,,Adjusted,536460000016770432,quantity,in house consumption,,"Motor K9RP-60FC 230VAC, 60W, 0.62A 1250 RPM",536460000015752588,MRGGPS230060M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,Main Store
1522,2022-03-29,,Adjusted,536460000016770450,quantity,in house consumption,,"Aluminium Flat,100x20",536460000007727771,FLALHD10020FRE,Cost of Goods Sold,Inventory Asset,,-3.95,0.000000,,Kg,Main Store
1523,2022-03-29,,Adjusted,536460000016770468,quantity,in house consumption,,"Motor K9RP-60FC 230VAC, 60W, 0.62A 1250 RPM",536460000015752588,MRGGPS230060M1,Cost of Goods Sold,Inventory Asset,,-2.00,0.000000,,Nos,PHV
1524,2022-03-29,,Adjusted,536460000016770486,quantity,in house consumption,,"Aluminium Flat,100x25",536460000007728808,FLALHD10025FRE,Cost of Goods Sold,Inventory Asset,,-2.30,0.000000,,Kg,Mechanical
